"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-10,163,monthly,371143,2014-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-10,10773,monthly,402300,2014-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-11,170,monthly,368204,2014-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-11,9095,monthly,400803,2014-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2014-12,182,monthly,364462,2014-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-12,9745,monthly,402898,2014-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-01,119,monthly,375085,2015-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-01,8142,monthly,402847,2015-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-02,142,monthly,381836,2015-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-02,7937,monthly,404773,2015-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-03,130,monthly,387493,2015-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-03,8847,monthly,404706,2015-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-04,97,monthly,386169,2015-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-04,8323,monthly,410445,2015-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-05,110,monthly,392630,2015-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-05,9059,monthly,415817,2015-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-06,162,monthly,402532,2015-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-06,10721,monthly,419474,2015-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-07,185,monthly,408336,2015-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-07,11980,monthly,431644,2015-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-08,151,monthly,411637,2015-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-08,10499,monthly,436152,2015-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-09,155,monthly,413637,2015-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-09,10686,monthly,439729,2015-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-10,160,monthly,414819,2015-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-10,10926,monthly,440484,2015-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-11,106,monthly,416642,2015-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-11,9752,monthly,445485,2015-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2015-12,155,monthly,425457,2015-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-12,9700,monthly,450053,2015-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-01,111,monthly,429178,2016-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-01,7927,monthly,457466,2016-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-02,109,monthly,432011,2016-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-02,8208,monthly,457759,2016-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-03,218,monthly,430219,2016-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-03,17501,monthly,464647,2016-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-04,94,monthly,437219,2016-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-04,5746,monthly,461068,2016-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-05,94,monthly,430822,2016-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-05,6617,monthly,467485,2016-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-06,164,monthly,425993,2016-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-06,8464,monthly,468120,2016-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-07,169,monthly,424048,2016-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-07,8794,monthly,475530,2016-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-08,119,monthly,429007,2016-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-08,8535,monthly,471957,2016-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-09,159,monthly,429167,2016-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-09,8275,monthly,471767,2016-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-10,131,monthly,399642,2016-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-10,8100,monthly,471008,2016-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-11,104,monthly,396817,2016-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-11,8178,monthly,470854,2016-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2016-12,161,monthly,399330,2016-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-12,8460,monthly,472374,2016-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-01,115,monthly,421207,2017-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-01,6931,monthly,475619,2017-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-02,127,monthly,422069,2017-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-02,7108,monthly,476717,2017-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-03,114,monthly,420710,2017-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-03,8659,monthly,475442,2017-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-04,143,monthly,425216,2017-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-04,7120,monthly,479790,2017-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-05,115,monthly,431736,2017-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-05,7874,monthly,480902,2017-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-06,139,monthly,440545,2017-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-06,9192,monthly,480152,2017-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-07,103,monthly,452358,2017-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-07,8494,monthly,488527,2017-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-08,145,monthly,456022,2017-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-08,8921,monthly,487085,2017-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-09,193,monthly,447954,2017-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-09,8239,monthly,483833,2017-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-10,144,monthly,438271,2017-10-01
